DATA INICIAL,DATA FINAL,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
2/10/13,2/16/13,ÓLEO DIESEL S10,1611,R$/l,"2,330","0,114","2,059","3,050","0,260","0,049","2,070","0,088","1,849","2,416","0,043"
2/10/13,2/16/13,GASOLINA COMUM,8670,R$/l,"2,890","0,146","2,439","3,899","0,426","0,051","2,464","0,106","2,125","2,965","0,043"
2/10/13,2/16/13,GLP,8036,R$/13Kg,"40,431","4,016","27,000","62,000","10,556","0,099","29,875","4,554","14,663","45,000","0,152"
2/10/13,2/16/13,GNV,514,R$/m3,"1,766","0,165","1,399","2,599","0,417","0,093","1,349","0,144","0,837","1,822","0,107"
2/17/13,2/23/13,ETANOL HIDRATADO,8138,R$/l,"2,001","0,239","1,599","3,000","0,267","0,119","1,734","0,215","1,300","2,515","0,124"
2/17/13,2/23/13,ÓLEO DIESEL,6639,R$/l,"2,251","0,114","1,959","2,950","0,255","0,051","1,996","0,083","1,514","2,455","0,042"
2/17/13,2/23/13,ÓLEO DIESEL S10,1729,R$/l,"2,336","0,114","2,099","3,050","0,260","0,049","2,076","0,080","1,889","2,404","0,039"
2/17/13,2/23/13,GASOLINA COMUM,8665,R$/l,"2,889","0,146","2,429","3,899","0,420","0,051","2,469","0,102","2,125","2,899","0,041"
2/17/13,2/23/13,GLP,8048,R$/13Kg,"40,420","3,952","27,000","62,000","10,545","0,098","29,875","4,456","14,663","45,000","0,149"
2/17/13,2/23/13,GNV,516,R$/m3,"1,771","0,169","1,399","2,599","0,444","0,095","1,327","0,155","0,838","1,822","0,117"
2/24/13,3/2/13,ETANOL HIDRATADO,8144,R$/l,"2,032","0,229","1,580","3,150","0,257","0,113","1,775","0,205","1,345","2,596","0,115"
2/24/13,3/2/13,ÓLEO DIESEL,6646,R$/l,"2,255","0,113","1,959","2,980","0,252","0,050","2,003","0,083","1,680","2,457","0,041"
2/24/13,3/2/13,ÓLEO DIESEL S10,1754,R$/l,"2,328","0,117","2,099","3,050","0,250","0,050","2,078","0,083","1,889","2,536","0,040"
